"","LD.50.V","LD.50.M","LD.50.F"
"10",3.5,1.5,0.5
"20",3.5,2,0.5
"30",3.5,2.5,0.5
"40",3.5,7,0.5
"50",3.5,25,0.5
"60",3.5,1,0.5
"70",3.5,1.75,0.5
"80",3.5,2.25,0.5
"90",3.5,4,0.5
"91",0.7,3,0.5
"92",1.5,3,0.5
"93",2,3,0.5
"94",3,3,0.5
"95",7,3,0.5
"96",1,3,0.5
"97",1.75,3,0.5
"98",2.5,3,0.5
"99",4,3,0.5
"100",3.5,3,0.5
"110",3.5,1.5,2
"120",3.5,2,2
"130",3.5,2.5,2
"140",3.5,7,2
"150",3.5,25,2
"160",3.5,1,2
"170",3.5,1.75,2
"180",3.5,2.25,2
"190",3.5,4,2
"191",0.7,3,2
"192",1.5,3,2
"193",2,3,2
"194",3,3,2
"195",7,3,2
"196",1,3,2
"197",1.75,3,2
"198",2.5,3,2
"199",4,3,2
"200",3.5,3,2
"210",3.5,1.5,7
"220",3.5,2,7
"230",3.5,2.5,7
"240",3.5,7,7
"250",3.5,25,7
"260",3.5,1,7
"270",3.5,1.75,7
"280",3.5,2.25,7
"290",3.5,4,7
"291",0.7,3,7
"292",1.5,3,7
"293",2,3,7
"294",3,3,7
"295",7,3,7
"296",1,3,7
"297",1.75,3,7
"298",2.5,3,7
"299",4,3,7
"300",3.5,3,7
"301",0.7,1.5,1.5
"302",1.5,1.5,1.5
"303",2,1.5,1.5
"304",3,1.5,1.5
"305",7,1.5,1.5
"306",1,1.5,1.5
"307",1.75,1.5,1.5
"308",2.5,1.5,1.5
"309",4,1.5,1.5
"310",3.5,1.5,1.5
"311",0.7,2,1.5
"312",1.5,2,1.5
"313",2,2,1.5
"314",3,2,1.5
"315",7,2,1.5
"316",1,2,1.5
"317",1.75,2,1.5
"318",2.5,2,1.5
"319",4,2,1.5
"320",3.5,2,1.5
"321",0.7,2.5,1.5
"322",1.5,2.5,1.5
"323",2,2.5,1.5
"324",3,2.5,1.5
"325",7,2.5,1.5
"326",1,2.5,1.5
"327",1.75,2.5,1.5
"328",2.5,2.5,1.5
"329",4,2.5,1.5
"330",3.5,2.5,1.5
"331",0.7,7,1.5
"332",1.5,7,1.5
"333",2,7,1.5
"334",3,7,1.5
"335",7,7,1.5
"336",1,7,1.5
"337",1.75,7,1.5
"338",2.5,7,1.5
"339",4,7,1.5
"340",3.5,7,1.5
"341",0.7,25,1.5
"342",1.5,25,1.5
"343",2,25,1.5
"344",3,25,1.5
"345",7,25,1.5
"346",1,25,1.5
"347",1.75,25,1.5
"348",2.5,25,1.5
"349",4,25,1.5
"350",3.5,25,1.5
"351",0.7,1,1.5
"352",1.5,1,1.5
"353",2,1,1.5
"354",3,1,1.5
"355",7,1,1.5
"356",1,1,1.5
"357",1.75,1,1.5
"358",2.5,1,1.5
"359",4,1,1.5
"360",3.5,1,1.5
"361",0.7,1.75,1.5
"362",1.5,1.75,1.5
"363",2,1.75,1.5
"364",3,1.75,1.5
"365",7,1.75,1.5
"366",1,1.75,1.5
"367",1.75,1.75,1.5
"368",2.5,1.75,1.5
"369",4,1.75,1.5
"370",3.5,1.75,1.5
"371",0.7,2.25,1.5
"372",1.5,2.25,1.5
"373",2,2.25,1.5
"374",3,2.25,1.5
"375",7,2.25,1.5
"376",1,2.25,1.5
"377",1.75,2.25,1.5
"378",2.5,2.25,1.5
"379",4,2.25,1.5
"380",3.5,2.25,1.5
"381",0.7,4,1.5
"382",1.5,4,1.5
"383",2,4,1.5
"384",3,4,1.5
"385",7,4,1.5
"386",1,4,1.5
"387",1.75,4,1.5
"388",2.5,4,1.5
"389",4,4,1.5
"390",3.5,4,1.5
"391",0.7,3,1.5
"392",1.5,3,1.5
"393",2,3,1.5
"394",3,3,1.5
"395",7,3,1.5
"396",1,3,1.5
"397",1.75,3,1.5
"398",2.5,3,1.5
"399",4,3,1.5
"400",3.5,3,1.5
