numRow,LD.50.V,LD.50.M,LD.50.F,Voles500_kg20,Voles250_kg20,Voles250_kg7.5,Voles50_kg7.5
1,0.7,1.5,0.5,1,1,1,1
2,1.5,1.5,0.5,1,1,1,1
3,2,1.5,0.5,1,1,1,1
4,3,1.5,0.5,1,1,1,1
5,7,1.5,0.5,2,2,2,2
6,0.7,2,0.5,1,1,1,1
7,1.5,2,0.5,1,1,3,1
8,2,2,0.5,2,1,2,1
9,3,2,0.5,1,1,1,1
10,7,2,0.5,2,2,2,2
11,0.7,2.5,0.5,1,1,1,1
12,1.5,2.5,0.5,2,1,3,1
13,2,2.5,0.5,2,1,2,1
14,3,2.5,0.5,2,1,2,1
15,7,2.5,0.5,2,2,2,2
16,0.7,7,0.5,1,1,1,1
17,1.5,7,0.5,NA,1,3,1
18,2,7,0.5,2,3,2,1
19,3,7,0.5,2,2,NA,1
20,7,7,0.5,2,2,2,2
21,0.7,25,0.5,1,1,1,1
22,1.5,25,0.5,2,1,3,1
23,2,25,0.5,2,3,2,1
24,3,25,0.5,2,2,2,1
25,7,25,0.5,2,2,2,2
26,0.7,1.5,2,1,1,1,1
27,1.5,1.5,2,1,1,1,1
28,2,1.5,2,1,1,NA,1
29,3,1.5,2,1,1,1,1
30,7,1.5,2,2,2,2,2
31,0.7,2,2,1,1,1,1
32,1.5,2,2,1,1,3,1
33,2,2,2,2,1,2,1
34,3,2,2,1,1,1,1
35,7,2,2,2,2,2,2
36,0.7,2.5,2,1,1,1,1
37,1.5,2.5,2,2,1,3,1
38,2,2.5,2,2,1,2,1
39,3,2.5,2,2,1,2,1
40,7,2.5,2,2,2,2,2
41,0.7,7,2,1,1,1,1
42,1.5,7,2,2,1,3,1
43,2,7,2,2,1,2,1
44,3,7,2,2,2,2,1
45,7,7,2,2,2,2,2
46,0.7,25,2,1,1,1,1
47,1.5,25,2,NA,1,3,1
48,2,25,2,2,1,2,NA
49,3,25,2,2,2,2,1
50,7,25,2,2,2,2,2
51,0.7,1.5,7,1,1,1,1
52,1.5,1.5,7,1,1,1,1
53,2,1.5,7,1,1,1,1
54,3,1.5,7,1,1,1,1
55,7,1.5,7,2,2,2,2
56,0.7,2,7,1,1,1,1
57,1.5,2,7,1,1,3,1
58,2,2,7,2,1,2,1
59,3,2,7,1,1,1,1
60,7,2,7,2,2,2,2
61,0.7,2.5,7,1,1,1,1
62,1.5,2.5,7,2,1,3,1
63,2,2.5,7,2,1,2,1
64,3,2.5,7,2,1,2,1
65,7,2.5,7,2,2,2,2
66,0.7,7,7,1,1,1,1
67,1.5,7,7,2,1,3,1
68,2,7,7,2,1,2,1
69,3,7,7,2,2,2,1
70,7,7,7,2,2,2,2
71,0.7,25,7,1,1,1,1
72,1.5,25,7,NA,1,3,1
73,2,25,7,2,1,2,1
74,3,25,7,2,2,2,NA
75,7,25,7,2,2,2,2
76,1,1.5,0.5,1,1,1,1
77,1.75,1.5,0.5,1,1,1,1
78,2.5,1.5,0.5,1,1,1,1
79,4,1.5,0.5,1,1,2,2
80,1,2,0.5,1,1,1,1
81,1.75,2,0.5,2,1,2,1
82,2.5,2,0.5,2,1,1,1
83,4,2,0.5,1,1,2,2
84,1,2.5,0.5,1,1,1,1
85,1.75,2.5,0.5,2,1,2,NA
86,2.5,2.5,0.5,2,2,2,1
87,4,2.5,0.5,1,1,2,2
88,1,7,0.5,1,1,1,1
89,1.75,7,0.5,2,1,2,1
90,2.5,7,0.5,2,2,2,1
91,4,7,0.5,2,2,2,2
92,1,25,0.5,1,1,1,1
93,1.75,25,0.5,2,1,2,1
94,2.5,25,0.5,2,2,2,1
95,4,25,0.5,2,2,2,2
96,0.7,1,0.5,1,1,1,1
97,1.5,1,0.5,1,1,1,1
98,2,1,0.5,1,1,1,1
99,3,1,0.5,1,1,1,1
100,7,1,0.5,2,2,2,2
101,1,1,0.5,1,1,1,1
102,1.75,1,0.5,1,1,1,1
103,2.5,1,0.5,1,1,1,1
104,4,1,0.5,1,1,2,2
105,0.7,1.75,0.5,1,1,1,1
106,1.5,1.75,0.5,1,1,1,1
107,2,1.75,0.5,1,1,1,1
108,3,1.75,0.5,1,NA,1,1
109,7,1.75,0.5,3,2,2,2
110,1,1.75,0.5,1,1,1,1
111,1.75,1.75,0.5,1,1,3,1
112,2.5,1.75,0.5,1,1,1,1
113,4,1.75,0.5,1,1,2,2
114,0.7,2.25,0.5,1,1,1,1
115,1.5,2.25,0.5,2,1,3,1
116,2,2.25,0.5,2,1,2,1
117,3,2.25,0.5,2,1,1,1
118,7,2.25,0.5,2,2,2,2
119,1,2.25,0.5,1,1,1,1
120,1.75,2.25,0.5,2,1,2,1
121,2.5,2.25,0.5,2,1,2,1
122,4,2.25,0.5,1,1,2,2
123,0.7,4,0.5,1,1,1,1
124,1.5,4,0.5,2,1,3,1
125,2,4,0.5,2,1,2,1
126,3,4,0.5,2,2,2,1
127,7,4,0.5,2,2,2,2
128,1,4,0.5,1,1,1,1
129,1.75,4,0.5,2,1,2,1
130,2.5,4,0.5,2,2,2,1
131,4,4,0.5,2,2,2,2
132,1,1.5,2,1,1,1,1
133,1.75,1.5,2,1,1,1,1
134,2.5,1.5,2,1,1,1,1
135,4,1.5,2,1,1,2,2
136,1,2,2,1,1,1,1
137,1.75,2,2,2,1,2,1
138,2.5,2,2,2,1,1,1
139,4,2,2,1,1,2,2
140,1,2.5,2,1,1,1,1
141,1.75,2.5,2,2,1,2,1
142,2.5,2.5,2,2,2,2,1
143,4,2.5,2,2,1,2,2
144,1,7,2,1,1,1,1
145,1.75,7,2,2,1,2,1
146,2.5,7,2,2,2,2,1
147,4,7,2,2,2,2,2
148,1,25,2,1,1,1,1
149,1.75,25,2,2,1,2,1
150,2.5,25,2,2,2,2,1
151,4,25,2,2,2,2,2
152,0.7,1,2,1,1,1,1
153,1.5,1,2,1,1,1,1
154,2,1,2,1,1,1,1
155,3,1,2,1,1,1,1
156,7,1,2,2,2,2,2
157,1,1,2,1,1,1,1
158,1.75,1,2,1,1,1,1
159,2.5,1,2,1,1,1,1
160,4,1,2,1,1,2,2
161,0.7,1.75,2,1,1,1,1
162,1.5,1.75,2,1,1,1,1
163,2,1.75,2,1,1,1,1
164,3,1.75,2,1,1,1,1
165,7,1.75,2,2,2,2,2
166,1,1.75,2,1,1,1,1
167,1.75,1.75,2,1,1,3,1
168,2.5,1.75,2,1,1,1,1
169,4,1.75,2,1,1,2,2
170,0.7,2.25,2,1,1,1,1
171,1.5,2.25,2,2,1,3,1
172,2,2.25,2,2,1,2,1
173,3,2.25,2,2,1,1,1
174,7,2.25,2,NA,2,2,2
175,1,2.25,2,1,1,1,1
176,1.75,2.25,2,2,1,2,1
177,2.5,2.25,2,2,1,2,1
178,4,2.25,2,1,1,2,2
179,0.7,4,2,1,1,1,1
180,1.5,4,2,2,1,3,1
181,2,4,2,2,1,2,1
182,3,4,2,2,NA,2,1
183,7,4,2,2,2,2,2
184,1,4,2,1,1,1,1
185,1.75,4,2,2,1,2,1
186,2.5,4,2,2,2,2,1
187,4,4,2,2,2,2,2
188,1,1.5,7,1,1,1,1
189,1.75,1.5,7,1,1,1,1
190,2.5,1.5,7,1,1,1,1
191,4,1.5,7,1,1,2,2
192,1,2,7,1,1,1,1
193,1.75,2,7,2,1,2,1
194,2.5,2,7,2,1,1,1
195,4,2,7,1,1,2,2
196,1,2.5,7,1,1,1,1
197,1.75,2.5,7,2,1,2,1
198,2.5,2.5,7,NA,2,2,1
199,4,2.5,7,2,1,2,2
200,1,7,7,1,1,1,1
201,1.75,7,7,2,1,2,1
202,2.5,7,7,2,2,2,1
203,4,7,7,2,2,2,2
204,1,25,7,1,1,1,1
205,1.75,25,7,2,1,2,1
206,2.5,25,7,2,2,2,1
207,4,25,7,2,2,2,2
208,0.7,1,7,1,1,1,1
209,1.5,1,7,1,1,1,1
210,2,1,7,1,1,1,1
211,3,1,7,1,1,1,1
212,7,1,7,2,2,2,2
213,1,1,7,1,1,1,1
214,1.75,1,7,1,1,1,1
215,2.5,1,7,1,1,1,1
216,4,1,7,1,1,2,2
217,0.7,1.75,7,1,1,1,1
218,1.5,1.75,7,1,1,1,1
219,2,1.75,7,1,1,1,1
220,3,1.75,7,1,1,1,1
221,7,1.75,7,2,2,2,2
222,1,1.75,7,1,1,1,1
223,1.75,1.75,7,1,1,3,1
224,2.5,1.75,7,1,1,1,1
225,4,1.75,7,1,1,2,2
226,0.7,2.25,7,1,1,1,1
227,1.5,2.25,7,NA,1,3,1
228,2,2.25,7,2,1,2,1
229,3,2.25,7,2,1,1,1
230,7,2.25,7,2,2,2,2
231,1,2.25,7,1,1,1,1
232,1.75,2.25,7,2,1,2,1
233,2.5,2.25,7,2,1,2,1
234,4,2.25,7,1,1,2,2
235,0.7,4,7,1,1,1,1
236,1.5,4,7,2,1,3,1
237,2,4,7,2,1,2,1
238,3,4,7,2,2,2,1
239,7,4,7,2,2,2,2
240,1,4,7,1,1,1,1
241,1.75,4,7,2,1,2,1
242,2.5,4,7,2,2,2,1
243,4,4,7,2,2,2,2
244,3.5,1.5,0.5,1,1,2,2
245,3.5,2,0.5,1,1,2,2
246,3.5,2.5,0.5,2,1,2,2
247,3.5,7,0.5,2,2,2,2
248,3.5,25,0.5,2,2,2,2
249,3.5,1,0.5,1,1,2,2
250,3.5,1.75,0.5,1,1,2,2
251,3.5,2.25,0.5,1,1,2,2
252,3.5,4,0.5,2,2,2,2
253,0.7,3,0.5,1,1,1,1
254,1.5,3,0.5,2,1,3,1
255,2,3,0.5,2,1,2,1
256,3,3,0.5,2,2,2,1
257,7,3,0.5,2,2,2,2
258,1,3,0.5,1,1,1,1
259,1.75,3,0.5,2,1,2,1
260,2.5,3,0.5,2,2,2,1
261,4,3,0.5,2,1,2,2
262,3.5,3,0.5,2,2,2,2
263,3.5,1.5,2,1,1,2,2
264,3.5,2,2,1,1,2,2
265,3.5,2.5,2,2,1,2,2
266,3.5,7,2,2,2,2,2
267,3.5,25,2,2,2,2,2
268,3.5,1,2,1,1,2,2
269,3.5,1.75,2,1,1,2,2
270,3.5,2.25,2,1,1,2,2
271,3.5,4,2,2,2,2,2
272,0.7,3,2,1,1,1,1
273,1.5,3,2,2,1,3,1
274,2,3,2,2,1,2,1
275,3,3,2,2,2,2,1
276,7,3,2,2,2,2,2
277,1,3,2,1,1,1,1
278,1.75,3,2,2,1,2,1
279,2.5,3,2,2,2,2,1
280,4,3,2,2,1,2,2
281,3.5,3,2,2,2,2,2
282,3.5,1.5,7,1,1,2,2
283,3.5,2,7,1,1,2,2
284,3.5,2.5,7,2,1,2,2
285,3.5,7,7,2,2,2,2
286,3.5,25,7,2,2,2,2
287,3.5,1,7,1,1,2,2
288,3.5,1.75,7,1,1,2,2
289,3.5,2.25,7,1,1,2,2
290,3.5,4,7,2,2,2,2
291,0.7,3,7,1,1,1,1
292,1.5,3,7,2,1,3,1
293,2,3,7,2,1,2,1
294,3,3,7,2,2,2,1
295,7,3,7,2,2,2,2
296,1,3,7,1,1,1,1
297,1.75,3,7,2,1,2,1
298,2.5,3,7,2,2,2,1
299,4,3,7,2,1,2,2
300,3.5,3,7,2,2,2,2
301,0.7,1.5,1.5,1,1,1,1
302,1.5,1.5,1.5,1,1,1,1
303,2,1.5,1.5,1,1,1,1
304,3,1.5,1.5,1,1,1,1
305,7,1.5,1.5,2,2,2,2
